reward,StopLoss,enter_at,close_at,typeMA,MA_period,ATR_period,ATR_multi
-0.04082749,0.0122,0.329,0.908,12,18,311,13.926
-0.04082515,0.0127,0.461,0.984,28,11,568,13.271
-0.0407468,0.0089,0.252,0.956,23,48,260,14.33
-0.04074012,0.0093,0.524,0.9,29,7,849,13.533
-0.04067061,0.0066,0.475,0.818,27,7,632,13.525
-0.04060352,0.0086,0.386,0.986,30,13,215,12.856
-0.04059398,0.0101,0.559,0.723,23,6,486,14.346
-0.04057053,0.0074,0.654,0.82,23,5,622,11.856
-0.04035031,0.0029,0.293,0.894,24,99,626,10.209
-0.04023861,0.0052,0.3,0.879,25,5,749,13.724
-0.04021891,0.0107,0.496,0.905,30,6,898,12.288
-0.04020656,0.0055,0.673,0.973,28,16,766,13.162
-0.04020647,0.0082,0.393,0.9,28,16,730,14.276
-0.04015313,0.01,0.343,0.936,25,5,577,14.317
-0.04012883,0.0078,0.374,0.783,30,5,771,13.532
-0.04012741,0.0109,0.499,0.985,18,5,490,13.712
-0.04012377,0.0084,0.461,0.977,23,8,784,12.826
-0.04006591,0.0105,0.422,0.806,20,8,604,13.404
-0.04005384,0.0083,0.234,0.912,22,22,648,14.57
